,title,year,scale,villain,diverse representation,characters
1,Grain in Ear,2005,indie,yes,yes,normal person
1,Grain in Ear,2005,indie,yes,yes, trafficker
3,Let the Blue River Run,2008,indie,no,yes,normal person
4,China Blue,2010,indie,yes,yes,gangster
4,China Blue,2010,indie,yes,yes, normal person
6,Dooman River,2011,indie,no,yes,normal person
8,Stateless Things,2012,indie,no,neutral,normal person
10,Farewell,2013,indie,no,no,poor person
10,Farewell,2013,indie,no,no, thief
14,Tuning Fork,2015,indie,no,neutral,normal person
26,The Boy From Nowhere,2019,indie,no,no,illegal broker
26,The Boy From Nowhere,2019,indie,no,no, ex-con
27,The Threshold Of Death,2019,indie,no,no,prostitute
29,Namui Nara,2021,indie,no,no,normal person
